# sec glat glon
232 72.20338 15.53933
233 72.21971 15.53638
234 72.23602 15.53343
235 72.25232 15.53049
236 72.26861 15.52755
237 72.28488 15.52461
238 72.30115 15.52167
239 72.31741 15.51873
240 72.33365 15.51580
241 72.34989 15.51286
242 72.36611 15.50993
243 72.38233 15.50699
244 72.39853 15.50406
245 72.41472 15.50113
246 72.43090 15.49821
247 72.44707 15.49528
248 72.46323 15.49235
249 72.47938 15.48943
250 72.49552 15.48651
251 72.51165 15.48359
252 72.52777 15.48067
253 72.54388 15.47775
254 72.55998 15.47483
255 72.57607 15.47192
256 72.59214 15.46900
257 72.60821 15.46609
258 72.62427 15.46318
259 72.64032 15.46027
260 72.65636 15.45736
261 72.67239 15.45446
262 72.68841 15.45155
263 72.70441 15.44865
264 72.72041 15.44575
265 72.73640 15.44285
266 72.75238 15.43995
267 72.76835 15.43705
268 72.78431 15.43416
269 72.80027 15.43126
270 72.81621 15.42837
271 72.83214 15.42548
272 72.84806 15.42259
273 72.86398 15.41970
274 72.87988 15.41681
275 72.89577 15.41393
276 72.91166 15.41105
277 72.92754 15.40817
278 72.94340 15.40529
279 72.95926 15.40241
280 72.97511 15.39953
281 72.99095 15.39665
282 73.00678 15.39378
283 73.02261 15.39091
284 73.03842 15.38804
285 73.05422 15.38517
286 73.07002 15.38230
287 73.08581 15.37944
288 73.10159 15.37657
289 73.11736 15.37371
290 73.13312 15.37085
291 73.14887 15.36799
292 73.16461 15.36514
293 73.18035 15.36228
294 73.19608 15.35943
295 73.21179 15.35657
296 73.22750 15.35372
297 73.24321 15.35087
298 73.25890 15.34803
299 73.27459 15.34518
300 73.29026 15.34234
301 73.30593 15.33950
302 73.32159 15.33666
303 73.33724 15.33382
304 73.35289 15.33098
305 73.36853 15.32815
306 73.38415 15.32531
307 73.39977 15.32248
308 73.41539 15.31965
309 73.43099 15.31683
310 73.44659 15.31400
311 73.46218 15.31118
312 73.47776 15.30835
313 73.49333 15.30553
314 73.50890 15.30271
315 73.52446 15.29990
316 73.54001 15.29708
317 73.55555 15.29427
318 73.57109 15.29146
319 73.58661 15.28865
320 73.60214 15.28584
321 73.61765 15.28304
322 73.63315 15.28023
323 73.64865 15.27743
324 73.66414 15.27463
325 73.67963 15.27183
326 73.69511 15.26904
327 73.71058 15.26624
328 73.72604 15.26345
329 73.74149 15.26066
330 73.75694 15.25787
331 73.77238 15.25508
332 73.78782 15.25230
333 73.80324 15.24951
334 73.81867 15.24673
335 73.83408 15.24396
336 73.84949 15.24118
337 73.86489 15.23840
338 73.88028 15.23563
339 73.89566 15.23286
340 73.91104 15.23009
341 73.92642 15.22732
342 73.94178 15.22456
343 73.95714 15.22180
344 73.97250 15.21903
345 73.98784 15.21628
346 74.00318 15.21352
347 74.01852 15.21076
348 74.03384 15.20801
349 74.04917 15.20526
350 74.06448 15.20251
351 74.07979 15.19977
352 74.09509 15.19702
353 74.11039 15.19428
354 74.12568 15.19154
355 74.14096 15.18880
356 74.15624 15.18607
357 74.17151 15.18333
358 74.18677 15.18060
359 74.20203 15.17787
360 74.21728 15.17514
361 74.23253 15.17242
362 74.24777 15.16970
363 74.26301 15.16697
364 74.27824 15.16426
365 74.29346 15.16154
366 74.30868 15.15883
367 74.32389 15.15611
368 74.33910 15.15340
369 74.35430 15.15070
370 74.36949 15.14799
371 74.38468 15.14529
372 74.39987 15.14259
373 74.41505 15.13989
374 74.43022 15.13719
375 74.44539 15.13450
376 74.46055 15.13181
377 74.47570 15.12912
378 74.49086 15.12643
379 74.50600 15.12375
380 74.52114 15.12106
381 74.53628 15.11838
382 74.55141 15.11570
383 74.56653 15.11303
384 74.58165 15.11036
385 74.59677 15.10769
386 74.61187 15.10502
387 74.62698 15.10235
388 74.64208 15.09969
389 74.65717 15.09703
390 74.67226 15.09437
391 74.68735 15.09171
392 74.70243 15.08906
393 74.71750 15.08641
394 74.73257 15.08376
395 74.74763 15.08111
396 74.76269 15.07847
397 74.77775 15.07582
398 74.79280 15.07319
399 74.80785 15.07055
400 74.82289 15.06791
401 74.83792 15.06528
402 74.85296 15.06265
403 74.86798 15.06003
404 74.88301 15.05740
405 74.89802 15.05478
406 74.91304 15.05216
407 74.92805 15.04955
408 74.94305 15.04693
409 74.95805 15.04432
410 74.97305 15.04171
411 74.98804 15.03911
412 75.00303 15.03650
413 75.01801 15.03390
414 75.03299 15.03130
415 75.04797 15.02871
416 75.06294 15.02612
417 75.07791 15.02353
418 75.09287 15.02094
419 75.10783 15.01835
420 75.12278 15.01577
421 75.13774 15.01319
422 75.15268 15.01062
423 75.16763 15.00804
424 75.18257 15.00547
425 75.19750 15.00290
426 75.21243 15.00034
427 75.22736 14.99777
428 75.24228 14.99521
429 75.25720 14.99266
430 75.27212 14.99010
431 75.28703 14.98755
432 75.30194 14.98500
433 75.31685 14.98245
434 75.33175 14.97991
435 75.34665 14.97737
436 75.36154 14.97483
437 75.37644 14.97230
438 75.39132 14.96977
439 75.40621 14.96724
440 75.42109 14.96471
441 75.43597 14.96219
442 75.45084 14.95967
443 75.46571 14.95715
444 75.48058 14.95464
445 75.49545 14.95213
446 75.51031 14.94962
447 75.52517 14.94711
448 75.54002 14.94461
449 75.55487 14.94211
450 75.56972 14.93962
451 75.58457 14.93712
452 75.59941 14.93463
453 75.61425 14.93215
454 75.62909 14.92966
455 75.64392 14.92718
456 75.65875 14.92470
457 75.67358 14.92223
458 75.68841 14.91976
459 75.70323 14.91729
460 75.71805 14.91483
461 75.73287 14.91236
462 75.74768 14.90990
463 75.76249 14.90745
464 75.77730 14.90500
465 75.79211 14.90255
466 75.80691 14.90010
467 75.82171 14.89766
468 75.83651 14.89522
469 75.85131 14.89278
470 75.86610 14.89035
471 75.88089 14.88792
472 75.89568 14.88549
473 75.91047 14.88307
474 75.92525 14.88065
475 75.94003 14.87823
476 75.95481 14.87582
477 75.96959 14.87341
478 75.98436 14.87101
479 75.99913 14.86860
480 76.01390 14.86620
481 76.02867 14.86381
482 76.04344 14.86141
483 76.05820 14.85902
484 76.07296 14.85664
485 76.08772 14.85426
486 76.10248 14.85188
487 76.11724 14.84950
488 76.13199 14.84713
489 76.14674 14.84476
490 76.16149 14.84240
491 76.17624 14.84004
492 76.19099 14.83768
493 76.20573 14.83533
494 76.22047 14.83297
495 76.23521 14.83063
496 76.24995 14.82829
497 76.26469 14.82595
498 76.27943 14.82361
499 76.29416 14.82128
500 76.30889 14.81895
501 76.32362 14.81662
502 76.33835 14.81430
503 76.35308 14.81199
504 76.36781 14.80967
505 76.38253 14.80736
506 76.39725 14.80506
507 76.41198 14.80275
508 76.42670 14.80046
509 76.44142 14.79816
510 76.45613 14.79587
511 76.47085 14.79358
512 76.48557 14.79130
513 76.50028 14.78902
514 76.51499 14.78675
515 76.52970 14.78448
516 76.54441 14.78221
517 76.55912 14.77995
518 76.57383 14.77769
519 76.58854 14.77543
520 76.60325 14.77318
521 76.61795 14.77093
522 76.63266 14.76869
523 76.64736 14.76645
524 76.66206 14.76421
525 76.67676 14.76198
526 76.69146 14.75976
527 76.70616 14.75753
528 76.72086 14.75531
529 76.73556 14.75310
530 76.75026 14.75089
531 76.76495 14.74868
532 76.77965 14.74648
533 76.79434 14.74428
534 76.80904 14.74209
535 76.82373 14.73990
536 76.83843 14.73772
537 76.85312 14.73553
538 76.86781 14.73336
539 76.88250 14.73119
540 76.89720 14.72902
541 76.91189 14.72685
542 76.92658 14.72470
543 76.94127 14.72254
544 76.95596 14.72039
545 76.97065 14.71825
546 76.98534 14.71610
547 77.00002 14.71397
548 77.01471 14.71184
549 77.02940 14.70971
550 77.04409 14.70758
551 77.05878 14.70547
552 77.07347 14.70335
553 77.08815 14.70124
554 77.10284 14.69914
555 77.11753 14.69704
556 77.13222 14.69494
557 77.14691 14.69285
558 77.16159 14.69077
559 77.17628 14.68868
560 77.19097 14.68661
561 77.20566 14.68454
562 77.22035 14.68247
563 77.23504 14.68041
564 77.24972 14.67835
565 77.26441 14.67630
566 77.27910 14.67425
567 77.29379 14.67221
568 77.30848 14.67017
569 77.32317 14.66813
570 77.33786 14.66611
571 77.35255 14.66408
572 77.36725 14.66206
573 77.38194 14.66005
574 77.39663 14.65804
575 77.41132 14.65604
576 77.42602 14.65404
577 77.44071 14.65205
578 77.45541 14.65006
579 77.47010 14.64808
580 77.48480 14.64610
581 77.49949 14.64413
582 77.51419 14.64216
583 77.52889 14.64020
584 77.54359 14.63824
585 77.55829 14.63629
586 77.57299 14.63435
587 77.58769 14.63241
588 77.60239 14.63047
589 77.61710 14.62854
590 77.63180 14.62662
591 77.64651 14.62470
592 77.66121 14.62278
593 77.67592 14.62088
594 77.69063 14.61897
595 77.70534 14.61708
596 77.72005 14.61518
597 77.73476 14.61330
598 77.74947 14.61142
599 77.76419 14.60954
600 77.77890 14.60767
601 77.79362 14.60581
602 77.80834 14.60395
603 77.82306 14.60210
604 77.83778 14.60026
605 77.85250 14.59842
606 77.86722 14.59658
607 77.88195 14.59475
608 77.89668 14.59293
609 77.91140 14.59111
610 77.92613 14.58930
611 77.94086 14.58750
612 77.95560 14.58570
613 77.97033 14.58390
614 77.98507 14.58212
615 77.99980 14.58034
616 78.01454 14.57856
617 78.02929 14.57679
618 78.04403 14.57503
619 78.05877 14.57327
620 78.07352 14.57152
621 78.08827 14.56978
622 78.10302 14.56804
623 78.11777 14.56631
624 78.13252 14.56458
625 78.14728 14.56286
626 78.16204 14.56115
627 78.17680 14.55945
628 78.19156 14.55775
629 78.20632 14.55605
630 78.22109 14.55437
631 78.23586 14.55269
632 78.25063 14.55101
633 78.26540 14.54935
634 78.28018 14.54768
635 78.29495 14.54603
636 78.30973 14.54438
637 78.32452 14.54274
638 78.33930 14.54111
639 78.35409 14.53948
640 78.36887 14.53786
641 78.38367 14.53625
642 78.39846 14.53464
643 78.41326 14.53304
644 78.42806 14.53145
645 78.44286 14.52987
646 78.45766 14.52829
647 78.47247 14.52672
648 78.48728 14.52515
649 78.50209 14.52359
650 78.51690 14.52204
651 78.53172 14.52050
652 78.54654 14.51896
653 78.56136 14.51744
