# ICI4 Andoya U3 launcer 83/340
# Time       Alt       Lat       Lon       Vel   Vel. El   Vel. Az
#  sec         m       deg       deg       m/s       deg       deg
  0.00      11.2  69.29399  16.01847       0.0    83.000   340.000
  0.10      11.1  69.29399  16.01847       1.6   -83.000   160.000
  0.20      10.9  69.29399  16.01847       3.0   -83.000   160.000
  0.30      10.6  69.29399  16.01847       1.7   -83.000   160.000
  0.40      10.7  69.29399  16.01847       3.3    83.000   340.000
  0.50      11.3  69.29399  16.01847       9.0    83.000   340.000
  0.60      12.5  69.29399  16.01847      14.4    83.000   340.000
  0.70      14.2  69.29399  16.01847      19.8    83.000   340.000
  0.80      16.4  69.29400  16.01847      25.1    83.000   340.000
  0.90      19.1  69.29400  16.01847      30.4    83.000   340.000
  0.99      22.1  69.29400  16.01847      35.2    83.000   340.000
  0.99      22.1  69.29400  16.01846      35.2    83.000   340.000
  1.00      22.4  69.29401  16.01846      35.6    82.983   340.000
  1.10      26.2  69.29401  16.01846      40.8    82.800   339.998
  1.20      30.5  69.29401  16.01845      45.9    82.635   339.997
  1.30      35.3  69.29401  16.01845      50.9    82.485   339.996
  1.40      40.6  69.29402  16.01844      56.0    82.345   339.994
  1.50      46.4  69.29403  16.01843      61.0    82.216   339.993
  1.60      52.7  69.29404  16.01842      65.9    82.095   339.992
  1.70      59.5  69.29404  16.01842      70.9    81.981   339.991
  1.80      66.7  69.29405  16.01841      75.9    81.873   339.989
  1.90      74.5  69.29406  16.01840      80.8    81.770   339.988
  2.00      82.7  69.29408  16.01839      85.8    81.673   339.987
  2.10      91.5  69.29408  16.01838      90.7    81.580   339.986
  2.20     100.7  69.29410  16.01837      95.7    81.491   339.985
  2.30     110.4  69.29411  16.01835     100.6    81.406   339.984
  2.40     120.6  69.29412  16.01834     105.5    81.323   339.983
  2.50     131.3  69.29414  16.01832     110.5    81.244   339.982
  2.60     142.4  69.29415  16.01831     115.5    81.168   339.981
  2.70     154.1  69.29417  16.01829     120.4    81.094   339.980
  2.80     166.2  69.29418  16.01828     125.4    81.023   339.979
  2.90     178.8  69.29420  16.01826     130.4    80.954   339.978
  3.00     192.0  69.29421  16.01824     135.4    80.887   339.977
  3.10     205.6  69.29424  16.01822     140.4    80.822   339.976
  3.20     219.7  69.29425  16.01820     145.5    80.759   339.975
  3.30     234.3  69.29427  16.01818     150.5    80.698   339.974
  3.40     249.4  69.29430  16.01816     155.6    80.638   339.973
  3.50     265.0  69.29431  16.01814     160.6    80.580   339.972
  3.60     281.1  69.29433  16.01812     165.7    80.523   339.971
  3.70     297.7  69.29436  16.01809     170.8    80.468   339.970
  3.80     314.8  69.29439  16.01807     175.9    80.414   339.969
  3.90     332.4  69.29441  16.01804     181.0    80.361   339.969
  4.00     350.5  69.29443  16.01801     186.1    80.309   339.968
  4.10     369.1  69.29446  16.01799     191.3    80.259   339.967
  4.20     388.2  69.29449  16.01796     196.4    80.210   339.966
  4.30     407.8  69.29452  16.01793     201.6    80.161   339.965
  4.40     427.9  69.29455  16.01790     206.8    80.114   339.964
  4.50     448.5  69.29458  16.01787     212.0    80.068   339.963
  4.60     469.7  69.29461  16.01783     217.2    80.022   339.963
  4.70     491.3  69.29464  16.01780     222.4    79.978   339.962
  4.80     513.5  69.29468  16.01777     227.7    79.934   339.961
  4.90     536.2  69.29471  16.01773     233.0    79.891   339.960
  5.00     559.4  69.29475  16.01770     238.3    79.849   339.959
  5.10     583.1  69.29478  16.01766     243.6    79.808   339.958
  5.20     607.3  69.29482  16.01762     248.9    79.767   339.958
  5.30     632.1  69.29485  16.01758     254.2    79.727   339.957
  5.40     657.3  69.29489  16.01754     259.6    79.688   339.956
  5.50     683.1  69.29493  16.01750     265.0    79.650   339.955
  5.60     709.5  69.29498  16.01746     270.4    79.612   339.955
  5.70     736.3  69.29501  16.01742     275.8    79.574   339.954
  5.80     763.7  69.29506  16.01737     281.2    79.538   339.953
  5.90     791.6  69.29510  16.01733     286.7    79.502   339.952
  6.00     820.1  69.29514  16.01728     292.2    79.466   339.952
  6.10     849.1  69.29519  16.01723     297.7    79.431   339.951
  6.20     878.6  69.29523  16.01719     303.1    79.397   339.950
  6.30     908.7  69.29529  16.01714     308.6    79.363   339.949
  6.40     939.3  69.29533  16.01709     314.1    79.329   339.949
  6.50     970.4  69.29538  16.01704     319.6    79.296   339.948
  6.60    1002.1  69.29543  16.01698     325.1    79.264   339.947
  6.70    1034.3  69.29549  16.01693     330.5    79.232   339.946
  6.80    1067.0  69.29554  16.01688     336.0    79.200   339.946
  6.90    1100.3  69.29559  16.01682     341.4    79.169   339.945
  7.00    1134.1  69.29565  16.01677     346.8    79.138   339.944
  7.10    1168.4  69.29570  16.01671     352.3    79.108   339.943
  7.20    1203.3  69.29576  16.01665     357.7    79.078   339.943
  7.30    1238.7  69.29581  16.01659     363.0    79.048   339.942
  7.40    1274.6  69.29588  16.01653     368.4    79.019   339.941
  7.50    1311.0  69.29594  16.01647     373.7    78.990   339.941
  7.60    1347.9  69.29599  16.01641     379.0    78.961   339.940
  7.70    1385.4  69.29606  16.01634     384.3    78.933   339.939
  7.80    1423.3  69.29612  16.01628     389.6    78.905   339.939
  7.90    1461.9  69.29618  16.01621     394.8    78.877   339.938
  8.00    1500.8  69.29625  16.01615     400.0    78.850   339.937
  8.10    1540.3  69.29631  16.01608     405.1    78.822   339.936
  8.20    1580.3  69.29638  16.01601     410.3    78.796   339.936
  8.30    1620.8  69.29645  16.01594     415.4    78.769   339.935
  8.40    1661.8  69.29652  16.01587     420.4    78.743   339.934
  8.50    1703.3  69.29659  16.01580     425.4    78.717   339.934
  8.60    1745.3  69.29665  16.01572     430.4    78.691   339.933
  8.70    1787.7  69.29673  16.01565     435.4    78.665   339.932
  8.80    1830.6  69.29680  16.01558     440.3    78.640   339.932
  8.90    1874.0  69.29688  16.01550     445.1    78.615   339.931
  9.00    1917.9  69.29694  16.01542     449.9    78.590   339.930
  9.10    1962.2  69.29702  16.01535     454.7    78.566   339.930
  9.20    2007.0  69.29710  16.01527     459.5    78.541   339.929
  9.30    2052.3  69.29717  16.01519     464.2    78.517   339.928
  9.40    2098.0  69.29726  16.01511     468.9    78.493   339.928
  9.50    2144.2  69.29733  16.01502     473.5    78.469   339.927
  9.60    2190.8  69.29742  16.01494     478.1    78.445   339.926
  9.70    2237.9  69.29749  16.01486     482.6    78.422   339.926
  9.80    2285.3  69.29758  16.01477     487.1    78.398   339.925
  9.90    2333.3  69.29766  16.01469     491.6    78.375   339.924
 10.00    2381.6  69.29774  16.01460     496.0    78.352   339.924
 10.10    2430.4  69.29783  16.01451     500.4    78.329   339.923
 10.20    2479.7  69.29791  16.01443     504.9    78.307   339.923
 10.30    2529.3  69.29800  16.01434     509.3    78.284   339.922
 10.40    2579.4  69.29809  16.01424     513.7    78.262   339.921
 10.50    2629.9  69.29818  16.01415     518.1    78.240   339.921
 10.60    2680.9  69.29826  16.01406     522.5    78.218   339.920
 10.70    2732.2  69.29836  16.01397     526.9    78.196   339.919
 10.80    2784.0  69.29845  16.01387     531.3    78.174   339.919
 10.90    2836.2  69.29854  16.01378     535.7    78.152   339.918
 11.00    2888.9  69.29863  16.01368     540.1    78.131   339.917
 11.10    2941.9  69.29873  16.01359     544.5    78.110   339.917
 11.20    2995.4  69.29882  16.01349     548.8    78.088   339.916
 11.30    3049.3  69.29892  16.01339     553.2    78.067   339.916
 11.40    3103.7  69.29901  16.01329     557.6    78.046   339.915
 11.50    3158.4  69.29911  16.01319     561.9    78.025   339.914
 11.60    3213.6  69.29921  16.01309     566.3    78.005   339.914
 11.70    3269.2  69.29931  16.01298     570.6    77.984   339.913
 11.80    3325.2  69.29941  16.01288     574.9    77.964   339.912
 11.90    3381.7  69.29951  16.01277     579.3    77.943   339.912
 12.00    3438.5  69.29961  16.01267     583.6    77.923   339.911
 12.10    3495.8  69.29971  16.01256     587.9    77.903   339.911
 12.20    3553.5  69.29982  16.01245     592.3    77.883   339.910
 12.30    3611.6  69.29993  16.01235     596.6    77.863   339.909
 12.40    3670.2  69.30003  16.01224     600.9    77.843   339.909
 12.50    3729.1  69.30014  16.01213     605.2    77.824   339.908
 12.60    3788.5  69.30025  16.01201     609.6    77.804   339.908
 12.70    3848.3  69.30035  16.01190     613.9    77.785   339.907
 12.80    3908.5  69.30047  16.01179     618.2    77.766   339.906
 12.90    3969.1  69.30058  16.01167     622.5    77.746   339.906
 13.00    4030.2  69.30069  16.01156     626.9    77.727   339.905
 13.10    4091.6  69.30080  16.01144     631.2    77.708   339.905
 13.20    4153.5  69.30091  16.01132     635.5    77.689   339.904
 13.30    4215.8  69.30103  16.01121     639.9    77.671   339.903
 13.40    4278.5  69.30114  16.01109     644.2    77.652   339.903
 13.50    4341.7  69.30126  16.01097     648.6    77.633   339.902
 13.60    4405.2  69.30138  16.01085     652.9    77.615   339.902
 13.70    4469.2  69.30150  16.01072     657.3    77.596   339.901
 13.80    4533.6  69.30161  16.01060     661.7    77.578   339.900
 13.90    4598.4  69.30173  16.01048     666.0    77.560   339.900
 14.00    4663.7  69.30186  16.01035     670.4    77.542   339.899
 14.10    4729.4  69.30198  16.01022     674.8    77.524   339.899
 14.20    4795.5  69.30210  16.01010     679.2    77.506   339.898
 14.30    4862.0  69.30222  16.00997     683.7    77.488   339.897
 14.40    4929.0  69.30235  16.00984     688.1    77.470   339.897
 14.50    4996.3  69.30247  16.00971     692.6    77.453   339.896
 14.60    5064.2  69.30260  16.00957     697.0    77.435   339.896
 14.70    5132.4  69.30273  16.00944     701.5    77.418   339.895
 14.80    5201.1  69.30286  16.00931     706.0    77.400   339.894
 14.90    5270.2  69.30299  16.00917     710.5    77.383   339.894
 15.00    5339.8  69.30312  16.00904     715.0    77.366   339.893
 15.10    5409.7  69.30325  16.00890     719.5    77.349   339.893
 15.20    5480.2  69.30338  16.00876     724.1    77.332   339.892
 15.30    5551.0  69.30352  16.00863     728.7    77.315   339.892
 15.40    5622.3  69.30366  16.00849     733.2    77.298   339.891
 15.50    5694.1  69.30379  16.00835     737.9    77.281   339.890
 15.60    5766.3  69.30393  16.00820     742.5    77.264   339.890
 15.70    5838.9  69.30407  16.00806     747.2    77.248   339.889
 15.80    5912.0  69.30421  16.00792     751.9    77.231   339.889
 15.90    5985.6  69.30434  16.00777     756.6    77.215   339.888
 16.00    6059.6  69.30449  16.00763     761.3    77.199   339.888
 16.10    6134.1  69.30463  16.00748     766.1    77.182   339.887
 16.20    6209.0  69.30477  16.00733     770.9    77.166   339.886
 16.30    6284.4  69.30492  16.00718     775.8    77.150   339.886
 16.40    6360.3  69.30506  16.00703     780.7    77.134   339.885
 16.50    6436.6  69.30521  16.00688     785.6    77.118   339.885
 16.60    6513.5  69.30536  16.00672     790.5    77.102   339.884
 16.70    6590.8  69.30550  16.00657     795.5    77.086   339.883
 16.80    6668.5  69.30566  16.00641     800.5    77.071   339.883
 16.90    6746.8  69.30581  16.00626     805.5    77.055   339.882
 17.00    6825.5  69.30596  16.00610     810.6    77.040   339.882
 17.10    6904.8  69.30611  16.00594     815.7    77.024   339.881
 17.20    6984.5  69.30627  16.00578     820.9    77.009   339.881
 17.30    7064.8  69.30643  16.00562     826.1    76.994   339.880
 17.40    7145.5  69.30658  16.00546     831.3    76.978   339.879
 17.50    7226.7  69.30674  16.00529     836.6    76.963   339.879
 17.60    7308.5  69.30690  16.00513     842.0    76.948   339.878
 17.70    7390.8  69.30706  16.00496     847.4    76.933   339.878
 17.80    7473.6  69.30722  16.00480     852.8    76.918   339.877
 17.90    7556.9  69.30738  16.00463     858.3    76.904   339.877
 18.00    7640.8  69.30755  16.00446     863.9    76.889   339.876
 18.10    7725.2  69.30772  16.00428     869.6    76.874   339.875
 18.20    7810.2  69.30788  16.00411     875.3    76.860   339.875
 18.30    7895.7  69.30805  16.00394     881.2    76.845   339.874
 18.40    7981.8  69.30822  16.00376     887.1    76.831   339.874
 18.50    8068.5  69.30839  16.00359     893.1    76.817   339.873
 18.60    8155.7  69.30856  16.00341     899.2    76.802   339.873
 18.70    8243.5  69.30873  16.00323     905.3    76.788   339.872
 18.80    8332.0  69.30891  16.00305     911.5    76.774   339.872
 18.90    8420.9  69.30908  16.00286     917.9    76.760   339.871
 19.00    8510.7  69.30926  16.00268     924.3    76.746   339.870
 19.10    8601.0  69.30944  16.00249     930.8    76.732   339.870
 19.20    8691.9  69.30962  16.00231     937.3    76.719   339.869
 19.30    8783.4  69.30980  16.00212     943.9    76.705   339.869
 19.40    8875.6  69.30998  16.00193     950.3    76.692   339.868
 19.50    8968.4  69.31017  16.00174     956.4    76.678   339.868
 19.60    9061.7  69.31036  16.00154     962.3    76.665   339.867
 19.70    9155.6  69.31054  16.00135     967.7    76.651   339.866
 19.80    9250.0  69.31073  16.00116     972.8    76.638   339.866
 19.90    9344.9  69.31092  16.00096     977.5    76.625   339.865
 20.00    9440.2  69.31111  16.00076     981.7    76.612   339.865
 20.10    9535.9  69.31130  16.00056     985.5    76.599   339.864
 20.20    9631.9  69.31149  16.00036     988.8    76.586   339.864
 20.30    9728.2  69.31169  16.00016     991.9    76.573   339.863
 20.40    9824.8  69.31188  15.99996     994.6    76.560   339.862
 20.50    9921.7  69.31208  15.99976     997.0    76.547   339.862
 20.60   10018.8  69.31227  15.99956     999.2    76.534   339.861
 20.70   10116.0  69.31247  15.99936    1001.3    76.521   339.861
 20.80   10213.5  69.31267  15.99915    1003.2    76.508   339.860
 20.90   10311.1  69.31286  15.99895    1004.8    76.495   339.860
 21.00   10408.9  69.31306  15.99874    1006.3    76.482   339.859
 21.10   10506.7  69.31326  15.99854    1007.7    76.469   339.858
 21.20   10604.8  69.31345  15.99833    1008.9    76.456   339.858
 21.30   10703.0  69.31365  15.99813    1010.0    76.443   339.857
 21.40   10801.2  69.31385  15.99792    1011.0    76.430   339.857
 21.50   10899.5  69.31405  15.99771    1011.9    76.417   339.856
 21.60   10997.9  69.31425  15.99750    1012.6    76.404   339.856
 21.70   11096.4  69.31445  15.99730    1013.3    76.391   339.855
 21.80   11194.9  69.31465  15.99709    1013.9    76.378   339.855
 21.90   11293.4  69.31485  15.99688    1014.3    76.366   339.854
 22.00   11392.0  69.31506  15.99667    1014.8    76.353   339.853
 22.10   11490.7  69.31525  15.99646    1015.1    76.340   339.853
 22.20   11589.3  69.31546  15.99625    1015.3    76.327   339.852
 22.30   11688.0  69.31566  15.99605    1015.5    76.314   339.852
 22.40   11786.6  69.31586  15.99584    1015.5    76.301   339.851
 22.50   11885.3  69.31606  15.99563    1015.5    76.288   339.851
 22.60   11983.9  69.31627  15.99542    1015.4    76.275   339.850
 22.70   12082.6  69.31647  15.99520    1015.3    76.262   339.850
 22.80   12181.2  69.31667  15.99500    1015.1    76.249   339.849
 22.90   12279.8  69.31687  15.99478    1014.8    76.236   339.848
 23.00   12378.3  69.31708  15.99457    1014.5    76.223   339.848
 23.10   12476.8  69.31728  15.99436    1014.1    76.210   339.847
 23.20   12575.3  69.31748  15.99415    1013.6    76.197   339.847
 23.30   12673.7  69.31769  15.99394    1013.1    76.184   339.846
 23.40   12772.1  69.31789  15.99373    1012.5    76.170   339.846
 23.50   12870.3  69.31809  15.99352    1011.8    76.157   339.845
 23.60   12968.5  69.31830  15.99331    1011.1    76.144   339.845
 23.70   13066.7  69.31850  15.99310    1010.3    76.131   339.844
 23.80   13164.7  69.31870  15.99289    1009.5    76.118   339.844
 23.90   13262.7  69.31891  15.99267    1008.6    76.105   339.843
 24.00   13360.5  69.31911  15.99246    1007.6    76.091   339.842
 24.10   13458.3  69.31931  15.99225    1006.6    76.078   339.842
 24.20   13555.9  69.31951  15.99204    1005.5    76.065   339.841
 24.30   13653.5  69.31972  15.99183    1004.4    76.051   339.841
 24.40   13750.9  69.31992  15.99162    1003.2    76.038   339.840
 24.50   13848.2  69.32012  15.99141    1002.0    76.025   339.840
 24.60   13945.3  69.32033  15.99120    1000.8    76.011   339.839
 24.70   14042.4  69.32053  15.99098     999.5    75.998   339.839
 24.80   14139.3  69.32073  15.99077     998.1    75.984   339.838
 24.90   14236.1  69.32094  15.99056     996.7    75.971   339.838
 25.00   14332.7  69.32114  15.99035     995.3    75.957   339.837
 25.10   14429.2  69.32134  15.99014     993.9    75.944   339.837
 25.20   14525.5  69.32155  15.98993     992.4    75.930   339.836
 25.30   14621.7  69.32175  15.98972     990.8    75.917   339.836
 25.40   14717.7  69.32195  15.98951     989.2    75.903   339.835
 25.50   14813.6  69.32215  15.98930     987.6    75.889   339.835
 25.60   14909.3  69.32236  15.98909     986.0    75.875   339.834
 25.70   15004.8  69.32256  15.98888     984.3    75.862   339.834
 25.80   15100.2  69.32276  15.98867     982.6    75.848   339.833
 25.90   15195.4  69.32296  15.98846     980.9    75.834   339.833
 26.00   15290.4  69.32316  15.98825     979.2    75.820   339.832
 26.00   15290.4  69.32316  15.98825     979.2    75.820   339.832
 26.00   15290.4  69.32316  15.98825     979.2    75.820   339.832
 26.10   15385.3  69.32336  15.98804     977.8    75.806   339.832
 26.20   15480.0  69.32356  15.98783     976.4    75.792   339.831
 26.30   15574.6  69.32377  15.98763     975.1    75.778   339.831
 26.40   15669.0  69.32397  15.98742     973.7    75.764   339.830
 26.50   15763.3  69.32417  15.98721     972.3    75.750   339.829
 26.60   15857.5  69.32437  15.98700     971.0    75.736   339.829
 26.70   15951.5  69.32457  15.98679     969.6    75.722   339.828
 26.80   16045.5  69.32477  15.98658     968.3    75.708   339.828
 26.90   16139.2  69.32497  15.98637     967.0    75.694   339.827
 27.00   16232.8  69.32517  15.98616     965.7    75.679   339.827
 27.10   16326.3  69.32537  15.98596     964.3    75.665   339.826
 27.20   16419.7  69.32557  15.98575     963.0    75.651   339.826
 27.30   16512.9  69.32577  15.98554     961.7    75.637   339.826
 27.40   16606.0  69.32597  15.98533     960.4    75.622   339.825
 27.50   16699.0  69.32617  15.98512     959.1    75.608   339.824
 27.60   16791.8  69.32637  15.98491     957.8    75.593   339.824
 27.70   16884.6  69.32657  15.98471     956.5    75.579   339.824
 27.80   16977.1  69.32677  15.98450     955.3    75.564   339.823
 27.90   17069.6  69.32697  15.98429     954.0    75.550   339.823
 28.00   17161.9  69.32717  15.98408     952.7    75.535   339.822
 28.10   17254.1  69.32737  15.98388     951.5    75.521   339.822
 28.20   17346.1  69.32757  15.98367     950.2    75.506   339.821
 28.30   17438.1  69.32777  15.98346     948.9    75.492   339.821
 28.40   17529.9  69.32797  15.98325     947.7    75.477   339.820
 28.50   17621.6  69.32817  15.98305     946.5    75.462   339.820
 28.60   17713.1  69.32837  15.98284     945.2    75.447   339.819
 28.70   17804.5  69.32857  15.98263     944.0    75.433   339.819
 28.80   17895.8  69.32877  15.98242     942.8    75.418   339.818
 28.90   17987.0  69.32896  15.98222     941.5    75.403   339.818
 29.00   18078.1  69.32916  15.98201     940.3    75.388   339.817
 29.10   18169.0  69.32936  15.98180     939.1    75.373   339.817
 29.20   18259.8  69.32956  15.98160     937.9    75.358   339.816
 29.30   18350.5  69.32976  15.98139     936.7    75.343   339.816
 29.40   18441.0  69.32996  15.98118     935.5    75.328   339.815
 29.50   18531.5  69.33016  15.98098     934.3    75.313   339.815
 29.60   18621.8  69.33036  15.98077     933.1    75.298   339.814
 29.70   18712.0  69.33056  15.98056     931.9    75.283   339.814
 29.80   18802.0  69.33076  15.98036     930.7    75.268   339.813
 29.90   18892.0  69.33096  15.98015     929.5    75.252   339.813
 30.00   18981.8  69.33115  15.97994     928.3    75.237   339.813
 30.10   19071.5  69.33135  15.97974     927.1    75.222   339.812
 30.20   19161.1  69.33155  15.97953     926.0    75.207   339.812
 30.30   19250.6  69.33175  15.97932     924.8    75.191   339.811
 30.40   19339.9  69.33195  15.97912     923.6    75.176   339.811
 30.50   19429.2  69.33215  15.97891     922.5    75.161   339.810
 30.60   19518.3  69.33234  15.97870     921.3    75.145   339.810
 30.70   19607.3  69.33254  15.97850     920.1    75.130   339.809
 30.80   19696.1  69.33274  15.97829     919.0    75.114   339.809
 30.90   19784.9  69.33294  15.97808     917.8    75.099   339.808
 31.00   19873.5  69.33313  15.97788     916.7    75.083   339.808
 31.10   19962.0  69.33333  15.97767     915.5    75.067   339.808
 31.20   20050.4  69.33353  15.97747     914.4    75.052   339.807
 31.30   20138.7  69.33372  15.97726     913.3    75.036   339.807
 31.40   20226.9  69.33392  15.97705     912.1    75.020   339.806
 31.50   20315.0  69.33412  15.97685     911.0    75.005   339.806
 31.60   20402.9  69.33432  15.97664     909.9    74.989   339.805
 31.70   20490.7  69.33452  15.97644     908.7    74.973   339.805
 31.80   20578.4  69.33472  15.97623     907.6    74.957   339.804
 31.90   20666.0  69.33492  15.97603     906.5    74.941   339.804
 32.00   20753.5  69.33511  15.97582     905.4    74.925   339.804
 32.10   20840.9  69.33530  15.97561     904.3    74.909   339.803
 32.20   20928.1  69.33550  15.97541     903.1    74.893   339.803
 32.30   21015.3  69.33570  15.97520     902.0    74.877   339.802
 32.40   21102.3  69.33590  15.97500     900.9    74.861   339.802
 32.50   21189.2  69.33610  15.97479     899.8    74.845   339.801
 32.50   21189.2  69.33610  15.97479     899.8    74.845   339.801
 32.50   21189.2  69.33610  15.97479     899.8    74.845   339.801
 32.60   21276.8  69.33630  15.97458     915.3    74.829   339.801
 32.70   21365.9  69.33650  15.97437     930.8    74.813   339.800
 32.80   21456.4  69.33671  15.97416     946.0    74.798   339.800
 32.90   21548.5  69.33691  15.97394     961.2    74.782   339.800
 33.00   21641.9  69.33713  15.97372     976.3    74.767   339.799
 33.10   21736.8  69.33734  15.97349     991.2    74.753   339.799
 33.20   21833.2  69.33756  15.97326    1006.3    74.738   339.798
 33.30   21931.0  69.33779  15.97303    1021.4    74.724   339.798
 33.40   22030.3  69.33802  15.97279    1036.5    74.709   339.797
 33.50   22131.0  69.33825  15.97255    1051.8    74.695   339.797
 33.60   22233.2  69.33849  15.97231    1067.3    74.682   339.796
 33.70   22336.9  69.33872  15.97206    1083.0    74.668   339.796
 33.80   22442.1  69.33896  15.97181    1099.0    74.655   339.796
 33.90   22548.8  69.33921  15.97155    1115.1    74.641   339.795
 34.00   22657.1  69.33945  15.97129    1131.6    74.628   339.795
 34.10   22767.1  69.33971  15.97103    1148.2    74.616   339.794
 34.20   22878.6  69.33997  15.97076    1165.1    74.603   339.794
 34.30   22991.7  69.34023  15.97049    1182.2    74.590   339.793
 34.40   23106.5  69.34049  15.97021    1199.4    74.578   339.793
 34.50   23223.0  69.34077  15.96993    1216.7    74.566   339.792
 34.60   23341.1  69.34103  15.96964    1234.0    74.554   339.792
 34.70   23460.8  69.34132  15.96935    1251.2    74.542   339.791
 34.80   23582.3  69.34160  15.96906    1268.2    74.531   339.791
 34.90   23705.3  69.34188  15.96876    1285.1    74.519   339.790
 35.00   23830.0  69.34217  15.96846    1301.9    74.508   339.790
 35.10   23956.2  69.34247  15.96816    1318.5    74.497   339.789
 35.20   24084.1  69.34277  15.96785    1335.1    74.486   339.789
 35.30   24213.5  69.34306  15.96753    1351.7    74.475   339.788
 35.40   24344.5  69.34337  15.96721    1368.2    74.464   339.788
 35.50   24477.1  69.34368  15.96689    1384.7    74.453   339.787
 35.60   24611.3  69.34399  15.96657    1401.2    74.443   339.787
 35.70   24747.1  69.34431  15.96623    1417.8    74.432   339.786
 35.80   24884.5  69.34463  15.96590    1434.6    74.422   339.786
 35.90   25023.5  69.34496  15.96556    1451.5    74.412   339.785
 36.00   25164.1  69.34528  15.96522    1468.6    74.402   339.785
 36.10   25306.4  69.34561  15.96487    1485.8    74.392   339.784
 36.20   25450.3  69.34595  15.96452    1503.1    74.382   339.783
 36.30   25595.9  69.34629  15.96416    1520.6    74.373   339.783
 36.40   25743.2  69.34664  15.96380    1538.2    74.363   339.782
 36.50   25892.2  69.34698  15.96344    1556.1    74.354   339.782
 36.60   26042.9  69.34734  15.96307    1573.3    74.344   339.781
 36.70   26195.2  69.34770  15.96270    1589.1    74.335   339.781
 36.80   26348.9  69.34806  15.96232    1603.5    74.326   339.780
 36.90   26503.9  69.34843  15.96194    1616.4    74.317   339.780
 37.00   26660.1  69.34879  15.96156    1627.9    74.308   339.779
 37.10   26817.3  69.34916  15.96117    1638.3    74.299   339.779
 37.20   26975.5  69.34953  15.96078    1648.3    74.290   339.778
 37.30   27134.6  69.34991  15.96039    1657.9    74.281   339.777
 37.40   27294.7  69.35029  15.96000    1667.0    74.272   339.777
 37.50   27455.5  69.35067  15.95960    1675.7    74.263   339.776
 37.60   27617.2  69.35105  15.95920    1683.9    74.255   339.776
 37.70   27779.7  69.35143  15.95880    1691.6    74.246   339.775
 37.80   27942.8  69.35182  15.95840    1698.9    74.237   339.775
 37.90   28106.6  69.35220  15.95799    1705.6    74.229   339.774
 38.00   28271.1  69.35259  15.95759    1711.9    74.220   339.773
 38.10   28436.1  69.35298  15.95718    1717.7    74.212   339.773
 38.20   28601.7  69.35338  15.95677    1723.0    74.203   339.772
 38.30   28767.7  69.35377  15.95636    1728.0    74.195   339.772
 38.35   28850.9  69.35397  15.95615    1730.4    74.190   339.771
 38.35   28850.9  69.35397  15.95615    1730.4    74.190   339.771
 38.40   28934.2  69.35416  15.95595    1732.7    74.186   339.771
 38.50   29101.1  69.35456  15.95553    1737.1    74.178   339.770
 38.60   29268.4  69.35496  15.95512    1741.2    74.169   339.770
 38.70   29436.2  69.35535  15.95470    1745.1    74.161   339.769
 38.80   29604.2  69.35576  15.95429    1748.8    74.153   339.769
 38.90   29772.6  69.35616  15.95387    1752.2    74.144   339.768
 39.00   29941.3  69.35656  15.95345    1755.4    74.136   339.768
 39.10   30110.3  69.35696  15.95303    1758.4    74.127   339.767
 39.20   30279.6  69.35736  15.95261    1761.4    74.119   339.766
 39.30   30449.1  69.35777  15.95218    1764.3    74.111   339.766
 39.40   30619.0  69.35817  15.95176    1767.2    74.102   339.765
 39.50   30789.0  69.35857  15.95134    1770.1    74.094   339.765
 39.60   30959.4  69.35899  15.95091    1772.9    74.086   339.764
 39.70   31130.0  69.35939  15.95049    1775.7    74.078   339.763
 39.80   31300.9  69.35980  15.95006    1778.6    74.069   339.763
 39.90   31472.1  69.36021  15.94963    1781.4    74.061   339.762
 40.00   31643.5  69.36062  15.94921    1784.2    74.053   339.762
 40.10   31815.2  69.36103  15.94878    1787.1    74.045   339.761
 40.20   31987.2  69.36144  15.94835    1789.9    74.036   339.760
 40.30   32159.4  69.36185  15.94792    1792.8    74.028   339.760
 40.40   32331.9  69.36227  15.94748    1795.7    74.020   339.759
 40.50   32504.7  69.36268  15.94705    1798.5    74.012   339.759
 40.60   32677.7  69.36310  15.94662    1801.4    74.004   339.758
 40.70   32851.0  69.36351  15.94618    1804.3    73.995   339.758
 40.80   33024.5  69.36393  15.94575    1807.2    73.987   339.757
 40.90   33198.4  69.36434  15.94531    1810.1    73.979   339.756
 41.00   33372.5  69.36476  15.94487    1813.1    73.971   339.756
 41.10   33546.9  69.36518  15.94443    1816.0    73.963   339.755
 41.20   33721.6  69.36560  15.94399    1819.0    73.955   339.755
 41.30   33896.5  69.36603  15.94355    1822.0    73.946   339.754
 41.40   34071.8  69.36645  15.94311    1825.0    73.938   339.753
 41.50   34247.3  69.36687  15.94267    1828.0    73.930   339.753
 41.60   34423.1  69.36729  15.94223    1831.1    73.922   339.752
 41.70   34599.2  69.36771  15.94178    1834.2    73.914   339.752
 41.80   34775.6  69.36814  15.94134    1837.3    73.906   339.751
 41.90   34952.2  69.36857  15.94089    1840.4    73.898   339.750
 42.00   35129.2  69.36900  15.94044    1843.5    73.890   339.750
 42.10   35306.4  69.36942  15.94000    1846.6    73.882   339.749
 42.20   35484.0  69.36986  15.93955    1849.8    73.874   339.749
 42.30   35661.9  69.37029  15.93910    1853.0    73.866   339.748
