# sec glat glon
232 72.23596 15.44685
233 72.25419 15.44292
234 72.27242 15.43898
235 72.29064 15.43504
236 72.30885 15.43111
237 72.32705 15.42717
238 72.34524 15.42324
239 72.36343 15.41930
240 72.38161 15.41537
241 72.39978 15.41143
242 72.41794 15.40750
243 72.43609 15.40356
244 72.45424 15.39963
245 72.47237 15.39570
246 72.49050 15.39176
247 72.50863 15.38783
248 72.52674 15.38390
249 72.54485 15.37997
250 72.56295 15.37604
251 72.58104 15.37211
252 72.59912 15.36818
253 72.61720 15.36425
254 72.63527 15.36032
255 72.65333 15.35639
256 72.67138 15.35246
257 72.68943 15.34853
258 72.70747 15.34460
259 72.72550 15.34067
260 72.74353 15.33674
261 72.76155 15.33282
262 72.77956 15.32889
263 72.79756 15.32496
264 72.81556 15.32104
265 72.83355 15.31711
266 72.85153 15.31319
267 72.86951 15.30926
268 72.88748 15.30534
269 72.90545 15.30141
270 72.92340 15.29749
271 72.94135 15.29356
272 72.95930 15.28964
273 72.97723 15.28572
274 72.99516 15.28180
275 73.01309 15.27787
276 73.03101 15.27395
277 73.04892 15.27003
278 73.06682 15.26611
279 73.08472 15.26219
280 73.10261 15.25827
281 73.12050 15.25435
282 73.13838 15.25043
283 73.15626 15.24651
284 73.17412 15.24259
285 73.19199 15.23868
286 73.20984 15.23476
287 73.22769 15.23084
288 73.24554 15.22692
289 73.26338 15.22301
290 73.28121 15.21909
291 73.29904 15.21518
292 73.31686 15.21126
293 73.33467 15.20735
294 73.35248 15.20343
295 73.37029 15.19952
296 73.38809 15.19560
297 73.40588 15.19169
298 73.42367 15.18778
299 73.44145 15.18387
300 73.45923 15.17996
301 73.47701 15.17604
302 73.49477 15.17213
303 73.51253 15.16822
304 73.53029 15.16431
305 73.54804 15.16040
306 73.56579 15.15649
307 73.58353 15.15258
308 73.60127 15.14868
309 73.61900 15.14477
310 73.63673 15.14086
311 73.65445 15.13695
312 73.67217 15.13305
313 73.68988 15.12914
314 73.70759 15.12524
315 73.72529 15.12133
316 73.74299 15.11743
317 73.76068 15.11352
318 73.77837 15.10962
319 73.79606 15.10571
320 73.81374 15.10181
321 73.83141 15.09791
322 73.84909 15.09401
323 73.86675 15.09011
324 73.88442 15.08621
325 73.90207 15.08230
326 73.91973 15.07840
327 73.93738 15.07450
328 73.95503 15.07061
329 73.97267 15.06671
330 73.99031 15.06281
331 74.00794 15.05891
332 74.02557 15.05501
333 74.04320 15.05112
334 74.06082 15.04722
335 74.07844 15.04333
336 74.09605 15.03943
337 74.11366 15.03554
338 74.13127 15.03164
339 74.14887 15.02775
340 74.16647 15.02385
341 74.18407 15.01996
342 74.20166 15.01607
343 74.21925 15.01218
344 74.23684 15.00829
345 74.25442 15.00440
346 74.27200 15.00051
347 74.28958 14.99662
348 74.30715 14.99273
349 74.32472 14.98884
350 74.34228 14.98495
351 74.35985 14.98106
352 74.37741 14.97717
353 74.39496 14.97329
354 74.41252 14.96940
355 74.43007 14.96552
356 74.44761 14.96163
357 74.46516 14.95775
358 74.48270 14.95386
359 74.50024 14.94998
360 74.51778 14.94610
361 74.53531 14.94221
362 74.55284 14.93833
363 74.57037 14.93445
364 74.58789 14.93057
365 74.60542 14.92669
366 74.62294 14.92281
367 74.64045 14.91893
368 74.65797 14.91505
369 74.67548 14.91118
370 74.69299 14.90730
371 74.71050 14.90342
372 74.72800 14.89955
373 74.74551 14.89567
374 74.76301 14.89179
375 74.78051 14.88792
376 74.79800 14.88405
377 74.81550 14.88017
378 74.83299 14.87630
379 74.85048 14.87243
380 74.86797 14.86856
381 74.88546 14.86469
382 74.90294 14.86081
383 74.92042 14.85695
384 74.93790 14.85308
385 74.95538 14.84921
386 74.97286 14.84534
387 74.99034 14.84147
388 75.00781 14.83760
389 75.02528 14.83374
390 75.04275 14.82987
391 75.06022 14.82601
392 75.07769 14.82214
393 75.09516 14.81828
394 75.11262 14.81442
395 75.13008 14.81055
396 75.14754 14.80669
397 75.16501 14.80283
398 75.18246 14.79897
399 75.19992 14.79511
400 75.21738 14.79125
401 75.23483 14.78739
402 75.25229 14.78353
403 75.26974 14.77968
404 75.28719 14.77582
405 75.30465 14.77196
406 75.32210 14.76811
407 75.33954 14.76425
408 75.35699 14.76040
409 75.37444 14.75655
410 75.39189 14.75269
411 75.40933 14.74884
412 75.42678 14.74499
413 75.44422 14.74114
414 75.46167 14.73729
415 75.47911 14.73344
416 75.49655 14.72959
